data_type;avg
2016 16 0;469.99
2016 17 0;459.99
2016 18 0;449.99
2016 19 0;459.99
2016 20 0;459.99
2016 21 0;459.99
2016 22 0;459.99
2016 23 0;479.99
2016 24 0;479.99
2016 25 0;479.99
2016 26 0;489.99
2016 27 0;489.99
2016 28 0;489.99
2016 29 0;489.99
2016 30 0;489.99
2016 31 0;499.99
2016 32 0;499.99
2016 33 0;499.99
2016 34 0;499.99
2016 35 0;499.99
2016 36 0;489.99
2016 37 0;469.99
2016 38 0;469.99
2016 39 0;459.99
2016 40 0;439.99
2016 41 0;439.99
2016 42 0;429.99
2016 43 0;419.99
2016 44 0;429.99
2016 45 0;429.99
2016 46 0;429.99
2016 47 0;429.99
2016 48 0;439.99
2016 49 0;439.99
2016 50 0;409.9
2016 51 0;410.0
2016 52 0;399.99
2017 1 0;399.99
2017 2 0;399.99
2017 3 0;399.99
2017 4 0;389.99
2017 5 0;389.99
2017 6 0;379.99
2017 7 0;379.99
2017 8 0;379.99
2017 9 0;379.99
2017 10 0;379.99
2017 11 0;369.99
2017 12 0;369.99
2017 13 0;349.99
2017 14 0;349.99
2017 15 0;349.99
2017 16 0;349.99
2017 17 0;359.99
2017 18 0;359.99
2017 19 0;359.99
2017 20 0;359.99
2017 21 0;349.99
2017 22 0;359.9
2017 23 0;359.99
2017 24 0;359.99
2017 25 0;349.99
2017 26 0;349.99
2017 27 0;339.99
2017 28 0;339.99
2017 29 0;340.0
2017 30 0;349.99
2017 31 0;349.99
2017 32 0;349.99
2017 33 0;329.99
2017 34 0;329.99
2017 35 0;329.99
2017 36 0;329.99
2017 37 0;329.99
2017 38 0;329.99
2017 39 0;329.99
2017 40 0;329.99
2017 41 0;329.99
2017 42 0;319.99
2017 43 0;299.99
2017 44 0;289.99
2017 45 0;289.99
2017 46 0;279.99
2017 47 0;289.99
2017 48 0;289.99
2017 49 0;289.99
2017 50 0;289.99
2017 51 0;289.99
2017 52 0;289.99
2018 1 0;289.99
2018 2 0;279.99
2018 3 0;269.99
2018 4 0;269.99
2018 5 0;264.99
2018 6 0;269.99
2018 7 0;259.99
2018 8 0;249.99
2018 9 0;249.99
2018 10 0;239.99
2018 11 0;259.99
2018 12 0;249.99
2018 13 0;249.99
2018 14 0;249.99
2018 15 0;249.99
2018 16 0;244.99
2018 17 0;244.99
2018 18 0;254.99
2018 19 0;219.99
2018 20 0;219.99
2018 21 0;219.99
2018 22 0;219.99
2018 23 0;219.99
2018 24 0;219.99
2018 25 0;209.99
2018 26 0;209.99
2018 27 0;209.99
2018 28 0;206.656666666667
2018 29 0;206.656666666667
2018 30 0;209.99
2018 31 0;203.323333333333
2018 32 0;206.656666666667
